Blockchain,Date,Type,Swaps,Swappers,Volume,AmountAverage,AmountMedian
THORChain,11-12-22,Other Tokens,3367,187,2675242.779,794.5478998,423.0756825
THORChain,11-12-22,Stablecoins,1435,48,816670.7612,569.1085444,422.0637295
Algorand,12-12-22,Native Coin,4137,711,327020.0093,79.04762131,3.761056274
Algorand,12-12-22,Other Tokens,7449,488,112571.3483,14.92988705,2.550804859
Algorand,12-12-22,Stablecoins,3475,176,398642.4682,112.8339848,10.03837207
Arbitrum,12-12-22,Native Coin,45335,19681,33049329.28,729.0025208,3.565201737
Arbitrum,12-12-22,Other Tokens,14971,7752,14928003.26,997.127998,1.252905374
Arbitrum,12-12-22,Stablecoins,17936,7824,27928740.96,1557.133194,89.51873498
Avalanche,12-12-22,Native Coin,11369,4023,4047914.282,356.048402,27.31837149
Avalanche,12-12-22,Other Tokens,899,491,441035.5449,490.5845883,104.4872384
Avalanche,12-12-22,Stablecoins,7360,2535,5612594.156,762.5807277,77.8985445
BSC,12-12-22,Native Coin,230839,77152,63288410.01,274.1668869,35.89787155
BSC,12-12-22,Other Tokens,9441,4328,8262841.898,875.2083357,70.88174427
BSC,12-12-22,Stablecoins,226289,97130,209642102.7,926.4352343,53.6500798
Ethereum,12-12-22,Native Coin,27409,452,217928968.2,7572.762813,564.9638058
Ethereum,12-12-22,Other Tokens,24494,519,212980859.2,7942.897709,457.8269749
Ethereum,12-12-22,Stablecoins,14883,373,497547524.3,30731.78038,1000
Flow,12-12-22,Native Coin,134,71,24479.56684,181.3301247,19.30007135
Flow,12-12-22,Other Tokens,75,10,7721.021551,102.946954,67.91007136
Flow,12-12-22,Stablecoins,308,119,84165.89912,193.041053,45.91861188
Gnosis,12-12-22,Other Tokens,1849,266,121125.9016,65.50887055,1.77417607
Gnosis,12-12-22,Stablecoins,144,64,7948.983094,55.20127148,2.829010792
NEAR,12-12-22,Native Coin,725,192,331941.8061,452.85376,35.30994413
NEAR,12-12-22,Other Tokens,427,71,1445309.694,3299.793822,1.355846899
NEAR,12-12-22,Stablecoins,646,134,498323.1547,653.1102944,35.90778127
Optimism,12-12-22,Native Coin,10003,5778,5094671.437,509.3143494,29.96323456
Optimism,12-12-22,Other Tokens,5365,2413,3149199.675,586.9896878,4.916669323
Optimism,12-12-22,Stablecoins,28213,10917,30444656.24,1079.100281,22.00753156
Osmosis,12-12-22,Native Coin,6866,1468,1697530.189,247.1291583,9.823782637
Osmosis,12-12-22,Other Tokens,8539,3514,2892777.549,338.772403,18.24143486
Osmosis,12-12-22,Stablecoins,3060,1006,1693707.419,553.4991565,42.541033
Polygon,12-12-22,Other Tokens,24970,8433,15055966.73,602.9622239,8.843428524
Polygon,12-12-22,Stablecoins,49943,16890,30824926.31,617.2021366,20.55689122
Solana,12-12-22,Native Coin,15232,2557,1853578.074,121.689737,17.43634198
Solana,12-12-22,Other Tokens,12235,1682,1165698.177,95.23677913,9.504899192
Solana,12-12-22,Stablecoins,75787,2662,3987792.008,52.61425208,0.519817099
THORChain,12-12-22,Native Coin,9466,259,6360383.266,663.9924069,413.4109936
THORChain,12-12-22,Other Tokens,6873,227,4495841.574,654.1308852,411.7832526
THORChain,12-12-22,Stablecoins,2689,67,1620588.773,602.6734003,458.8202682
Algorand,13-12-22,Native Coin,4862,690,323367.1449,66.50907957,2.624795824
Algorand,13-12-22,Other Tokens,7446,442,114386.0418,15.13443263,1.924104074
Algorand,13-12-22,Stablecoins,3264,207,329636.2269,98.31083416,6.612843391
Arbitrum,13-12-22,Native Coin,50011,15005,57922260.8,1158.190414,2.597804818
Arbitrum,13-12-22,Other Tokens,12653,6472,11901119.56,940.5769037,0.261832698
Arbitrum,13-12-22,Stablecoins,20158,7273,42807670.3,2123.60702,161.3667661
Avalanche,13-12-22,Native Coin,13279,3868,6574155.319,495.0790963,59.84383089
Avalanche,13-12-22,Other Tokens,1241,505,1059704.124,853.9114615,121.1394167
Avalanche,13-12-22,Stablecoins,8192,2794,12498260.59,1525.666576,150.3215489
BSC,13-12-22,Native Coin,290509,88141,107192591.2,368.9819978,39.99892281
BSC,13-12-22,Other Tokens,16653,6791,17847753.27,1071.744026,108.8097492
BSC,13-12-22,Stablecoins,254699,104433,238855154.7,937.7938458,58.70280612
Ethereum,13-12-22,Native Coin,31291,542,476778854.5,14412.9037,733.1148174
Ethereum,13-12-22,Other Tokens,26258,645,565740886.1,19397.27375,574.4300144
Ethereum,13-12-22,Stablecoins,20842,628,1191521946,50726.80599,1888.369167
Flow,13-12-22,Native Coin,142,71,38131.23414,266.651987,29.7325769
Flow,13-12-22,Other Tokens,34,10,3729.527104,109.6919737,56.12262316
Flow,13-12-22,Stablecoins,201,86,54623.20068,217.6223135,32.43346236
Gnosis,13-12-22,Other Tokens,3098,266,216449.7757,69.86758415,1.922238803
Gnosis,13-12-22,Stablecoins,491,52,9080.798435,18.49449783,0.993720975
NEAR,13-12-22,Native Coin,998,146,626764.6361,624.8899662,362.1095961
NEAR,13-12-22,Other Tokens,515,63,1977500.066,3696.261806,1.281615537
NEAR,13-12-22,Stablecoins,963,128,707211.4609,604.4542401,35.68901032
Optimism,13-12-22,Native Coin,11811,6260,8670323.264,734.0888379,60.46595396
Optimism,13-12-22,Other Tokens,6523,2586,4929747.507,755.7485064,4.488729891
Optimism,13-12-22,Stablecoins,37130,12100,55775195.66,1502.159862,24.99393621
Osmosis,13-12-22,Native Coin,6080,1344,814420.1796,133.9286597,11.62869317
Osmosis,13-12-22,Other Tokens,8641,3410,2976199.951,344.4277227,27.55529634
Osmosis,13-12-22,Stablecoins,3586,1030,2387947.837,665.9084878,114.032507
Polygon,13-12-22,Other Tokens,67109,27687,24493029.1,364.9738351,9.00E-19
Polygon,13-12-22,Stablecoins,51856,14753,57275192.39,1104.504636,42.65766481
Solana,13-12-22,Native Coin,25698,2503,3321143.57,129.2374336,18.22101639
Solana,13-12-22,Other Tokens,20990,2037,2351072.505,111.9984997,7.116058654
Solana,13-12-22,Stablecoins,161648,3267,7603351.942,47.03531006,0.500862196
THORChain,13-12-22,Native Coin,13126,398,9720383.779,728.1186351,411.1551456
THORChain,13-12-22,Other Tokens,10500,339,7373867.136,702.2730606,416.4687701
THORChain,13-12-22,Stablecoins,4657,84,2938820.634,631.0544629,448.6527135
Algorand,14-12-22,Native Coin,2769,650,153637.8761,55.48496788,2.136978613
Algorand,14-12-22,Other Tokens,4191,426,59079.65329,13.94045618,1.633885142
Algorand,14-12-22,Stablecoins,1626,164,191798.8203,115.7506459,12.69850373
Arbitrum,14-12-22,Native Coin,38189,12907,2.90383E+13,760384826,6894628.383
Arbitrum,14-12-22,Other Tokens,11377,6692,2992492.701,263.0300344,0.133989384
Arbitrum,14-12-22,Stablecoins,19534,7246,1.2065E+12,61764074.62,1229644.266
Avalanche,14-12-22,Native Coin,16988,8404,4538530.204,267.1609491,9.940266017
Avalanche,14-12-22,Other Tokens,1153,549,624635.3554,541.7479231,113.4771499
Avalanche,14-12-22,Stablecoins,9011,4033,10164905.9,1128.055255,33.17993225
BSC,14-12-22,Native Coin,249938,77915,71366258.12,285.5358454,40.87217173
BSC,14-12-22,Other Tokens,10889,5215,9536188.197,875.7634491,53.73892866
BSC,14-12-22,Stablecoins,245786,108873,176862122,719.5776896,49.67025214
Ethereum,14-12-22,Native Coin,27761,472,358817733.7,12292.90944,615.0345426
Ethereum,14-12-22,Other Tokens,24507,556,236561800.5,8849.055495,483.0765102
Ethereum,14-12-22,Stablecoins,15393,441,643270975.8,37812.77779,1124.745
Flow,14-12-22,Native Coin,118,84,27531.38937,227.5321436,35.35861186
Flow,14-12-22,Other Tokens,23,7,1191.749542,51.81519748,54.94158787
Flow,14-12-22,Stablecoins,244,136,92354.82733,257.2557864,51.40743541
Gnosis,14-12-22,Other Tokens,2136,278,148089.1465,69.33012476,1.786191244
Gnosis,14-12-22,Stablecoins,243,68,10316.3101,42.45395102,0.992453969
NEAR,14-12-22,Native Coin,646,135,348320.3774,535.0543431,211.2738256
NEAR,14-12-22,Other Tokens,451,60,1994031.856,4197.961803,1.20074642
NEAR,14-12-22,Stablecoins,782,140,697991.3799,795.8852678,58.87000224
Optimism,14-12-22,Native Coin,13229,7825,6840488.699,517.0828255,50.165618
Optimism,14-12-22,Other Tokens,7113,2800,4444219.962,624.802469,0.321149491
Optimism,14-12-22,Stablecoins,43349,15142,59757730.12,1378.526151,25.99379952
Osmosis,14-12-22,Native Coin,686,180,106537.5207,153.5122776,13.83892523
Osmosis,14-12-22,Other Tokens,943,379,315150.6168,334.2000178,33.9556157
Osmosis,14-12-22,Stablecoins,280,106,431307.4512,1540.383754,118.2009835
Polygon,14-12-22,Other Tokens,39481,16080,19879903.32,503.5308963,0.08806779
Polygon,14-12-22,Stablecoins,52691,17368,43225166.91,820.3519939,29.08086243
Solana,14-12-22,Native Coin,32187,2569,4896694.803,152.1326872,28.47045104
Solana,14-12-22,Other Tokens,16215,1805,2835245.055,174.7239203,17.89916446
Solana,14-12-22,Stablecoins,134227,3389,9734502.011,72.51727922,1.00105847
THORChain,14-12-22,Native Coin,14019,466,11737739.25,820.7061424,431.9300379
THORChain,14-12-22,Other Tokens,10188,357,8141173.454,799.0943712,439.3351955
THORChain,14-12-22,Stablecoins,4489,87,3054730.81,680.492495,439.7619054
Algorand,15-12-22,Native Coin,3842,586,290179.2955,75.52818728,3.487032569
Algorand,15-12-22,Other Tokens,5748,424,69977.46995,11.95991625,1.971446274
Algorand,15-12-22,Stablecoins,3704,191,442443.4461,116.5244788,7.932630539
Arbitrum,15-12-22,Native Coin,41628,17006,23400858.09,562.1422621,1.250002128
Arbitrum,15-12-22,Other Tokens,10003,5373,2730787.123,272.9968133,0.065503226
Arbitrum,15-12-22,Stablecoins,18145,8305,6.5402E+11,36044077.8,456624.569
Avalanche,15-12-22,Native Coin,12630,5308,2995354.47,237.1618741,21.16426773
Avalanche,15-12-22,Other Tokens,1012,451,606663.6927,599.470052,157.6883068
Avalanche,15-12-22,Stablecoins,6373,2924,8722715.441,1368.698484,101.101851
BSC,15-12-22,Native Coin,244663,87841,57114688.69,233.4422806,29.81488841
BSC,15-12-22,Other Tokens,12547,6562,8568838.058,682.9391933,28.27425494
BSC,15-12-22,Stablecoins,282579,122523,167498095.4,592.7478524,41.01758631
Ethereum,15-12-22,Native Coin,26144,436,243124812.4,8819.414967,479.6698597
Ethereum,15-12-22,Other Tokens,23263,531,162177915.1,6388.226853,449.9208
Ethereum,15-12-22,Stablecoins,14762,440,544567862.5,33390.63477,997.44
Flow,15-12-22,Native Coin,119,72,35689.49146,281.0196178,46.82624075
Flow,15-12-22,Other Tokens,71,13,7781.783523,109.6025848,67.8601929
Flow,15-12-22,Stablecoins,246,122,101031.7129,280.6436468,61.52380889
Gnosis,15-12-22,Other Tokens,2277,396,100309.6438,44.05342286,1.687335215
Gnosis,15-12-22,Stablecoins,248,54,16619.83797,67.01547567,2.089078447
NEAR,15-12-22,Native Coin,488,165,183501.7428,365.5413204,67.06782492
NEAR,15-12-22,Other Tokens,441,50,2419897.777,5249.235958,0.24132671
NEAR,15-12-22,Stablecoins,591,137,542586.0179,779.577612,30.82757111
Optimism,15-12-22,Native Coin,11729,6991,4929511.888,420.2840726,32.65025086
Optimism,15-12-22,Other Tokens,5802,2699,3659517.241,630.733754,1.788053233
